Transmission_BW (bps),Transmission_BW (kbps),ImgHeight,ImgWidth,Datasize,Tx_true,Datasize (bits),Tx_calc,Link_Utilization
256000,256,898,1600,1517519,50.1864108,12140152,47.42246875,0.944926485
256000,256,1600,1200,2331418,76.81465523,18651344,72.8568125,0.948475422
256000,256,1500,1295,1710539,56.49981582,13684312,53.45434375,0.946097664
256000,256,1530,1530,2884168,94.88630373,23073344,90.13025,0.949876288
256000,256,1530,1530,2249694,74.12269706,17997552,70.3029375,0.948467073
256000,256,1073,1600,1688157,55.79227396,13505256,52.75490625,0.945559349
256000,256,1600,1600,1245145,41.28477767,9961160,38.91078125,0.942497052
256000,256,1298,1600,2782693,91.60063994,22261544,86.95915625,0.949329135
256000,256,1595,1600,1554899,51.43130721,12439192,48.59059375,0.944766843
256000,256,1200,1600,2033663,67.09681307,16269304,63.55196875,0.947168216
256000,256,1200,1600,2165827,71.38438392,17326616,67.68209375,0.948135853
256000,256,903,1600,1593233,52.69296257,12745864,49.78853125,0.944880091
256000,256,1200,1600,1956028,64.54688359,15648224,61.125875,0.946999632
256000,256,1068,1600,1828266,60.33076019,14626128,57.1333125,0.947001369
256000,256,1065,1600,2746640,90.41409172,21973120,85.8325,0.949326575
256000,256,1600,1200,3214460,108.901697,25715680,100.451875,0.922408721
256000,256,1200,1600,1847500,61.01255014,14780000,57.734375,0.946270478
256000,256,1095,1600,2296687,75.66865678,18373496,71.77146875,0.948496667
256000,256,1600,1550,2974053,97.84216554,23792424,92.93915625,0.949888586
256000,256,1600,1070,2053451,68.08102311,16427608,64.17034375,0.942558452
256000,256,1143,1600,1993508,65.7746219,15948064,62.297125,0.947130112
256000,256,1200,1600,1926564,63.56507351,15412512,60.205125,0.947141593
256000,256,1200,1600,2821410,92.84792386,22571280,88.1690625,0.949607259
256000,256,1050,1600,2215286,73.02614507,17722288,69.2276875,0.947984964
256000,256,1180,1600,1885600,62.20903703,15084800,58.925,0.947209647
256000,256,1600,1280,2582799,88.57132949,20662392,80.71246875,0.911270828
256000,256,1600,1068,2111250,69.63179921,16890000,65.9765625,0.947506215
256000,256,938,1250,1162591,38.57070175,9300728,36.33096875,0.941931754
256000,256,1600,1070,1426464,47.19589215,11411712,44.577,0.944510168
256000,256,938,1250,1352544,44.76167664,10820352,42.267,0.944267578
256000,256,1065,1600,1469480,48.63801756,11755840,45.92125,0.944143127
256000,256,1210,1600,2071394,68.31752799,16571152,64.7310625,0.947502997
256000,256,938,1250,1282401,42.52778738,10259208,40.07503125,0.9423258
256000,256,1600,1065,2676486,88.12460584,21411888,83.6401875,0.949112756
256000,256,1200,1600,2402644,79.16183725,19221152,75.082625,0.948469965
256000,256,1200,1600,2092639,69.01875069,16741112,65.39496875,0.947495689
256000,256,1200,1600,1766842,58.37899035,14134736,55.2138125,0.945782244
256000,256,465,1600,1092545,36.2898464,8740360,34.14203125,0.940814984
256000,256,1250,1228,1653536,54.67373174,13228288,51.673,0.945115659
256000,256,1250,938,1413641,46.78026023,11309128,44.17628125,0.944335945
256000,256,898,1600,1901959,69.89208883,15215672,59.43621875,0.850399806
256000,256,1600,1068,1915446,71.11259403,15323568,59.8576875,0.841731177
256000,256,1600,1068,2144622,73.17265337,17156976,67.0194375,0.915908258
256000,256,1020,1600,2503272,84.89272799,20026176,78.22725,0.921483522
256000,256,808,1600,2414769,88.16884665,19318152,75.46153125,0.855875223
256000,256,1600,1200,2127391,73.18651867,17019128,66.48096875,0.908377253
256000,256,1600,1390,2388074,79.71458421,19104592,74.6273125,0.936181418
256000,256,1068,1600,1378276,47.49486696,11026208,43.071125,0.906858525
256000,256,1600,1200,3020157,112.0201689,24161256,94.37990625,0.842526013
256000,256,480,640,465161,31.90351974,3721288,14.53628125,0.455632525
256000,256,480,640,441589,25.15611917,3532712,13.79965625,0.548560617
256000,256,383,640,383725,23.17222997,3069800,11.99140625,0.517490387
256000,256,333,500,374013,28.50352173,2992104,11.68790625,0.410051304
256000,256,279,640,370409,71.62656032,2963272,11.57528125,0.161605991
256000,256,420,640,415601,32.32477545,3324808,12.98753125,0.401782567
256000,256,375,500,349774,22.80001262,2798192,10.9304375,0.479404888
256000,256,375,500,221663,16.87314716,1773304,6.92696875,0.410532113
256000,256,375,500,299013,29.52108235,2392104,9.34415625,0.316524853
256000,256,375,500,310825,36.83997703,2486600,9.71328125,0.263661436
256000,256,429,640,238233,10.43335897,1905864,7.44478125,0.713555555
256000,256,639,960,991079,39.9504403,7928632,30.97121875,0.775240987
256000,256,642,960,872558,48.78641571,6980464,27.2674375,0.558914548
256000,256,726,960,796277,40.74595568,6370216,24.88365625,0.610702482
256000,256,720,960,1151338,59.87522065,9210704,35.9793125,0.600904884
256000,256,720,960,1111809,47.27343778,8894472,34.74403125,0.734958845
256000,256,639,960,1202040,59.28878097,9616320,37.56375,0.633572649
256000,256,639,960,922497,40.46209948,7379976,28.82803125,0.712469981
256000,256,845,960,840644,46.34595816,6725152,26.270125,0.566826667
256000,256,918,918,939716,43.70548187,7517728,29.366125,0.671909421
256000,256,720,960,826374,28.58365693,6610992,25.8241875,0.903459888
256000,256,720,960,976410,33.18756027,7811280,30.5128125,0.91940511
256000,256,960,719,1226595,45.66174876,9812760,38.33109375,0.839457419
256000,256,642,960,804148,32.73179505,6433184,25.129625,0.767743564
256000,256,960,765,906843,33.33475122,7254744,28.33884375,0.850129151
256000,256,960,960,955547,34.78183279,7644376,29.86084375,0.858518409
256000,256,686,960,896736,37.33966219,7173888,28.023,0.750488846
256000,256,548,822,1017275,35.61985371,8138200,31.78984375,0.892475416
256000,256,576,720,689807,27.51285656,5518456,21.55646875,0.783505293
256000,256,536,559,497496,17.25208888,3979968,15.54675,0.901151745
256000,256,387,462,339513,22.34957192,2716104,10.60978125,0.474719663
256000,256,351,309,135021,49.14658268,1080168,4.21940625,0.085853502
256000,256,366,770,721296,49.5414893,5770368,22.5405,0.454982285
256000,256,480,640,821168,69.5640865,6569344,25.6615,0.368890059
256000,256,480,640,766240,25.61884681,6129920,23.945,0.93466346
256000,256,480,640,633322,21.30896591,5066576,19.7913125,0.928778646
256000,256,960,1280,2188564,72.13088957,17508512,68.392625,0.948173874
256000,256,960,1280,2559360,84.27536448,20474880,79.98,0.94903179
256000,256,960,1280,2533995,83.87264203,20271960,79.18734375,0.944137943
256000,256,960,1280,2706112,89.09516032,21648896,84.566,0.949164912
256000,256,960,1280,2519906,82.98605098,20159248,78.7470625,0.948919265
256000,256,960,1280,3442989,113.2031605,27543912,107.5934063,0.950445251
256000,256,960,1280,3118173,102.5775075,24945384,97.44290625,0.94994418
256000,256,877,1240,2470642,81.39299892,19765136,77.2075625,0.948577439
512000,512,576,768,1046140,17.80008226,8369120,16.3459375,0.918306852
512000,512,576,768,1046484,17.77191538,8371872,16.3513125,0.920064729
512000,512,576,768,1052068,17.88683889,8416544,16.4385625,0.919031172
512000,512,800,1200,2485823,41.36011964,19886584,38.84098438,0.93909265
512000,512,619,1100,1629932,27.32938309,13039456,25.4676875,0.931879341
512000,512,400,620,558718,9.794539136,4469744,8.72996875,0.891309803
512000,512,533,800,861161,14.81341511,6889288,13.45564063,0.908341562
512000,512,898,1600,1517519,25.83907427,12140152,23.71123438,0.917650305
512000,512,1600,1200,2331418,38.85336968,18651344,36.42840625,0.937586792
512000,512,1500,1295,1710539,28.60702591,13684312,26.72717188,0.934286981
512000,512,1530,1530,2884168,47.89397254,23073344,45.065125,0.940935208
512000,512,1530,1530,2249694,37.76540648,17997552,35.15146875,0.930784864
512000,512,1073,1600,1688157,28.30523888,13505256,26.37745313,0.93189297
512000,512,1600,1600,1245145,22.84865568,9961160,19.45539063,0.85148951
512000,512,1298,1600,2782693,46.19229433,22261544,43.47957813,0.941273404
512000,512,1595,1600,1554899,26.12409402,12439192,24.29529688,0.929995768
512000,512,1200,1600,2033663,33.93355194,16269304,31.77598438,0.936417868
512000,512,1200,1600,2165827,36.21733726,17326616,33.84104688,0.934388043
512000,512,903,1600,1593233,26.82415895,12745864,24.89426563,0.928053911
512000,512,1200,1600,1956028,32.75163375,15648224,30.5629375,0.933172914
512000,512,1068,1600,1828266,30.62454089,14626128,28.56665625,0.932802759
512000,512,1065,1600,2746640,45.68923827,21973120,42.91625,0.939307627
512000,512,1600,1200,3214460,53.35277158,25715680,50.2259375,0.941393221
512000,512,1200,1600,1847500,30.95006646,14780000,28.8671875,0.932701955
512000,512,1095,1600,2296687,38.33415635,18373496,35.88573438,0.936129494
512000,512,1600,1550,2974053,49.43624738,23792424,46.46957813,0.939989999
512000,512,1600,1070,2053451,34.33973118,16427608,32.08517188,0.934345459
512000,512,1143,1600,1993508,33.38832116,15948064,31.1485625,0.932917901
512000,512,1200,1600,1926564,32.31116197,15412512,30.1025625,0.931645929
512000,512,1200,1600,2821410,46.92685779,22571280,44.08453125,0.939430708
512000,512,1050,1600,2215286,36.9878148,17722288,34.61384375,0.935817483
512000,512,1180,1600,1885600,31.58905524,15084800,29.4625,0.932680632
512000,512,1600,1280,2582799,43.17789156,20662392,40.35623438,0.934650418
512000,512,1600,1068,2111250,35.66536059,16890000,32.98828125,0.924938952
512000,512,938,1250,1162591,19.81349807,9300728,18.16548438,0.916823688
512000,512,1600,1070,1426464,24.1482428,11411712,22.2885,0.922986413
512000,512,938,1250,1352544,22.88842964,10820352,21.1335,0.923326778
512000,512,1065,1600,1469480,24.85873084,11755840,22.960625,0.923644298
512000,512,1210,1600,2071394,34.64015371,16571152,32.36553125,0.934335671
512000,512,938,1250,1282401,21.75359237,10259208,20.03751563,0.921112949
512000,512,1600,1065,2676486,44.59264687,21411888,41.82009375,0.937824881
512000,512,1200,1600,2402644,40.01295928,19221152,37.5413125,0.938228843
512000,512,1200,1600,2092639,34.97824671,16741112,32.69748438,0.934794835
512000,512,1200,1600,1766842,29.71990813,14134736,27.60690625,0.928902813
512000,512,465,1600,1092545,18.63706186,8740360,17.07101563,0.915971399
512000,512,1250,1228,1653536,28.29320143,13228288,25.8365,0.913169903
512000,512,1250,938,1413641,23.85478493,11309128,22.08814063,0.925941722
512000,512,898,1600,1901959,31.82792941,15215672,29.71810938,0.933711678
512000,512,1600,1068,1915446,32.11111336,15323568,29.92884375,0.932040052
512000,512,1600,1068,2144622,35.82283285,17156976,33.50971875,0.935429057
512000,512,1020,1600,2503272,41.69290777,20026176,39.113625,0.938136175
512000,512,808,1600,2414769,40.30020248,19318152,37.73076563,0.936242582
512000,512,1600,1200,2127391,35.5911506,17019128,33.24048438,0.933953632
512000,512,1600,1390,2388074,39.79079374,19104592,37.31365625,0.937745964
512000,512,1068,1600,1378276,23.35315573,11026208,21.5355625,0.922169267
512000,512,1600,1200,3020157,50.18211212,24161256,47.18995313,0.940373992
512000,512,480,640,465161,8.37272189,3721288,7.268140625,0.868073814
512000,512,480,640,441589,7.975660905,3532712,6.899828125,0.865110517
512000,512,383,640,383725,6.984655129,3069800,5.995703125,0.858410761
512000,512,333,500,374013,6.874613094,2992104,5.843953125,0.850077385
512000,512,279,640,370409,6.804731496,2963272,5.787640625,0.850531814
512000,512,420,640,415601,7.559772419,3324808,6.493765625,0.858989565
512000,512,375,500,349774,6.495350192,2798192,5.46521875,0.841404788
512000,512,375,500,221663,4.378965927,1773304,3.463484375,0.790936589
512000,512,375,500,299013,5.612070825,2392104,4.672078125,0.832505197
512000,512,375,500,310825,5.842732611,2486600,4.856640625,0.831227603
512000,512,429,640,238233,4.632471779,1905864,3.722390625,0.803543076
512000,512,639,960,991079,16.96996294,7928632,15.48560938,0.912530536
512000,512,642,960,872558,15.02158675,6980464,13.63371875,0.907608429
512000,512,726,960,796277,13.80409144,6370216,12.44182813,0.901314525
512000,512,720,960,1151338,19.60451189,9210704,17.98965625,0.917628368
512000,512,720,960,1111809,19.00437547,8894472,17.37201563,0.914106104
512000,512,639,960,1202040,20.45052947,9616320,18.781875,0.918405317
512000,512,639,960,922497,15.86760053,7379976,14.41401563,0.908392898
512000,512,845,960,840644,14.50658905,6725152,13.1350625,0.905454925
512000,512,918,918,939716,16.15250715,7517728,14.6830625,0.909026838
512000,512,720,960,826374,14.28015716,6610992,12.91209375,0.904198295
512000,512,720,960,976410,16.72761002,7811280,15.25640625,0.912049374
512000,512,960,719,1226595,22.43162099,9812760,19.16554688,0.854398658
512000,512,642,960,804148,13.89812923,6433184,12.5648125,0.904065021
512000,512,960,765,906843,15.64112516,7254744,14.16942188,0.905908094
512000,512,960,960,955547,17.0433549,7644376,14.93042188,0.876025992
512000,512,686,960,896736,15.44546957,7173888,14.0115,0.907159212
512000,512,548,822,1017275,17.43096879,8138200,15.89492188,0.911878282
512000,512,576,720,689807,12.10320812,5518456,10.77823438,0.890527063
512000,512,536,559,497496,8.910585813,3979968,7.773375,0.872375303
512000,512,387,462,339513,6.316332003,2716104,5.304890625,0.83986887
