Spec Type,CPU Load (%),datasize,imgHeight,imgWidth,T_p,,,,
0,50,2111250,1600,1068,2.764483601,,,,
0,50,2559360,960,1280,2.208964669,,,,
0,50,3118173,960,1280,2.25046659,,,,
0,50,2188564,960,1280,2.271570856,,,,
0,50,1426464,1600,1070,2.863240598,,,,
0,50,339513,387,462,0.820091448,,,,
0,50,2676486,1600,1065,3.039214631,,,,
0,50,1245145,1600,1600,3.976139861,,,,
0,50,1111809,720,960,1.440162327,,,,
0,50,2519906,960,1280,2.209926878,,,,
0,50,1956028,1200,1600,3.319550621,,,,
0,50,2215286,1050,1600,2.830285025,,,,
0,50,2033663,1200,1600,3.241045505,,,,
0,50,1517519,898,1600,2.63431178,,,,
0,50,3020157,1600,1200,3.25173617,,,,
0,50,991079,639,960,1.514753978,,,,
0,50,689807,576,720,1.129235584,,,,
0,50,441589,480,640,0.846558498,,,,
0,50,1469480,1065,1600,2.853472657,,,,
0,50,1052068,576,768,1.134728065,,,,
0,50,1901959,898,1600,2.57110208,,,,
0,50,1629932,619,1100,1.354986984,,,,
0,50,1828266,1068,1600,2.931407954,,,,
0,50,135021,351,309,0.694890993,,,,
0,50,1378276,1068,1600,2.785321282,,,,
0,50,3442989,960,1280,2.169665791,,,,
0,50,2746640,1065,1600,2.999984979,,,,
0,50,2706112,960,1280,2.241377701,,,,
0,50,2127391,1600,1200,3.209192514,,,,
0,50,2533995,960,1280,2.231734941,,,,
0,50,1092545,465,1600,1.482152009,,,,
0,50,1710539,1500,1295,3.276100343,,,,
0,50,299013,375,500,0.766905658,,,,
0,50,2782693,1298,1600,3.625314996,,,,
0,50,1766842,1200,1600,2.953553795,,,,
0,50,310825,375,500,0.816424837,,,,
0,50,939716,918,918,1.609185312,,,,
0,50,2821410,1200,1600,3.254517062,,,,
0,75,2974053,1600,1550,6.319795984,,,,
0,75,1282401,938,1250,2.477653786,,,,
0,75,1151338,720,960,1.687471198,,,,
0,75,2071394,1210,1600,3.739338515,,,,
0,75,558718,400,620,1.143596413,,,,
0,75,2884168,1530,1530,4.392198781,,,,
0,75,1993508,1143,1600,3.780190052,,,,
0,75,374013,333,500,0.90095909,,,,
0,75,221663,375,500,0.923302637,,,,
0,75,1352544,938,1250,2.646744437,,,,
0,75,1915446,1600,1068,3.278578711,,,,
0,75,1202040,639,960,1.675065511,,,,
0,75,1926564,1200,1600,3.834856684,,,,
0,75,826374,720,960,1.780639989,,,,
0,75,896736,686,960,1.640273317,,,,
0,75,2092639,1200,1600,3.746233146,,,,
0,75,1162591,938,1250,2.506276691,,,,
0,75,796277,726,960,1.675486927,,,,
0,75,1653536,1250,1228,3.146935712,,,,
0,75,2331418,1600,1200,3.846297318,,,,
0,75,633322,480,640,1.119108922,,,,
0,75,1554899,1595,1600,4.620594211,,,,
0,75,821168,480,640,1.24053504,,,,
0,75,2503272,1020,1600,3.231068097,,,,
0,75,2582799,1600,1280,3.986442853,,,,
0,75,1885600,1180,1600,3.73690079,,,,
0,75,349774,375,500,0.932940509,,,,
0,75,804148,642,960,1.602726144,,,,
0,75,2296687,1095,1600,3.608904584,,,,
0,75,1413641,1250,938,2.523857929,,,,
0,75,1847500,1200,1600,3.83047514,,,,
0,75,2402644,1200,1600,3.794675382,,,,
0,75,2144622,1600,1068,3.420543413,,,,
0,75,415601,420,640,1.20035023,,,,
0,75,383725,383,640,0.998698131,,,,
0,75,955547,960,960,2.232688405,,,,
0,75,1046140,576,768,1.37046981,,,,
0,75,1046484,576,768,1.369898157,,,,
0,75,1226595,960,719,1.790073159,,,,
0,75,497496,536,559,1.118055438,,,,
0,75,370409,279,640,1.00376212,,,,
0,75,3214460,1600,1200,3.712135207,,,,
0,75,2249694,1530,1530,4.479006302,,,,
0,75,1688157,1073,1600,3.576293153,,,,
0,75,906843,960,765,1.798759612,,,,
0,75,766240,480,640,1.162753112,,,,
0,75,2485823,800,1200,2.123098603,,,,
0,75,2470642,877,1240,2.473575487,,,,
0,75,1017275,548,822,1.342731071,,,,
0,75,721296,366,770,1.218508616,,,,
0,75,840644,845,960,1.916166578,,,,
0,75,1593233,903,1600,3.051535323,,,,
0,75,238233,429,640,1.096971418,,,,
0,75,922497,639,960,1.561712455,,,,
0,75,2388074,1600,1390,4.275962688,,,,
0,75,2165827,1200,1600,3.671185256,,,,
0,75,976410,720,960,1.723350135,,,,
0,75,861161,533,800,1.303524015,,,,
0,75,2053451,1600,1070,3.455828072,,,,
0,75,465161,480,640,1.045674607,,,,
0,75,872558,642,960,1.631668897,,,,
0,75,2414769,808,1600,2.700292959,,,,
0,75,2111250,1600,1068,3.355765946,,,,
0,75,2559360,960,1280,2.557647832,,,,
0,75,3118173,960,1280,2.569810629,,,,
0,75,2188564,960,1280,2.581487447,,,,
0,75,1426464,1600,1070,3.361343468,,,,
0,75,339513,387,462,0.931566429,,,,
0,75,2676486,1600,1065,3.481866111,,,,
0,75,1245145,1600,1600,4.707904555,,,,
0,75,1111809,720,960,1.693762975,,,,
0,75,2519906,960,1280,2.616234138,,,,
0,75,1956028,1200,1600,3.748020798,,,,
0,75,2215286,1050,1600,3.453798094,,,,
0,75,2033663,1200,1600,3.747412539,,,,
0,75,1517519,898,1600,2.903481558,,,,
0,75,3020157,1600,1200,3.868405352,,,,
0,75,991079,639,960,1.700170181,,,,
0,75,689807,576,720,1.303961928,,,,
0,75,441589,480,640,1.256822268,,,,
0,75,1469480,1065,1600,3.277982364,,,,
0,75,1052068,576,768,1.43082815,,,,
0,75,1901959,898,1600,2.905452737,,,,
0,75,1629932,619,1100,1.713772197,,,,
0,75,1828266,1068,1600,3.498411697,,,,
0,75,135021,351,309,0.819088245,,,,
0,75,1378276,1068,1600,3.34931443,,,,
0,75,3442989,960,1280,2.75734806,,,,
0,75,2746640,1065,1600,3.349863243,,,,
0,75,2706112,960,1280,2.692776386,,,,
0,75,2127391,1600,1200,3.769264581,,,,
0,75,2533995,960,1280,2.750787921,,,,
0,75,1092545,465,1600,1.751929718,,,,
0,75,1710539,1500,1295,3.80535048,,,,
0,75,299013,375,500,0.901804498,,,,
0,75,2782693,1298,1600,4.224418258,,,,
0,75,1766842,1200,1600,3.62419404,,,,
0,75,310825,375,500,0.909819458,,,,
0,75,939716,918,918,1.937308179,,,,
0,75,2821410,1200,1600,3.575008002,,,,
1,0,2974053,1600,1550,4.463843154,,,,
1,0,1282401,938,1250,1.780648697,,,,
1,0,1151338,720,960,1.228285537,,,,
1,0,2071394,1210,1600,2.610073624,,,,
1,0,558718,400,620,0.739357182,,,,
1,0,2884168,1530,1530,3.0918438,,,,
1,0,1993508,1143,1600,2.622979778,,,,
1,0,374013,333,500,0.682290252,,,,
1,0,221663,375,500,0.722236163,,,,
1,0,1352544,938,1250,1.7751154,,,,
1,0,1915446,1600,1068,2.31125548,,,,
1,0,1202040,639,960,1.154372294,,,,
1,0,1926564,1200,1600,2.615994176,,,,
1,0,826374,720,960,1.254439498,,,,
1,0,896736,686,960,1.175287248,,,,
1,0,2092639,1200,1600,2.561339087,,,,
1,0,1162591,938,1250,1.741254674,,,,
1,0,796277,726,960,1.257361904,,,,
1,0,1653536,1250,1228,2.178560142,,,,
1,0,2331418,1600,1200,2.688836536,,,,
1,0,633322,480,640,0.807472651,,,,
1,0,1554899,1595,1600,3.211702727,,,,
1,0,821168,480,640,0.834193402,,,,
1,0,2503272,1020,1600,2.291912915,,,,
1,0,2582799,1600,1280,2.745728917,,,,
1,0,1885600,1180,1600,2.599089916,,,,
1,0,349774,375,500,0.67492833,,,,
1,0,804148,642,960,1.152198951,,,,
1,0,2296687,1095,1600,2.455757773,,,,
1,0,1413641,1250,938,1.796012129,,,,
1,0,1847500,1200,1600,2.649288308,,,,
1,0,2402644,1200,1600,2.579199505,,,,
1,0,2144622,1600,1068,2.358163901,,,,
1,0,415601,420,640,0.777824004,,,,
1,0,383725,383,640,0.728029314,,,,
1,0,955547,960,960,1.467978238,,,,
1,0,1046140,576,768,0.956339808,,,,
1,0,1046484,576,768,0.956879515,,,,
1,0,1226595,960,719,1.268113888,,,,
1,0,497496,536,559,0.80263416,,,,
1,0,370409,279,640,0.655836881,,,,
1,0,3214460,1600,1200,2.597590201,,,,
1,0,2249694,1530,1530,3.120905345,,,,
1,0,1688157,1073,1600,2.382910423,,,,
